EDIFICACIÓN Y OBRA CIVIL	LOGSE	EOC303	Realización y planes de obra
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE301	Mantenimiento electrónico
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE302	Sistemas electrónicos y automatizados
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE303	Automatización y robótica industrial
ELECTRICIDAD Y ELECTRÓNICA	LOGSE	ELE303	Sistemas de regulación y control automáticos
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE304	Sistemas de telecomunicaciones e informáticos
ELECTRICIDAD Y ELECTRÓNICA	LOGSE	ELE304	Sistemas de Telecomunicaciones e Informáticos
ENERGÍA Y AGUA	LOE	ENA301	Eficiencia Energética y Energía Solar Térmica
ENERGÍA Y AGUA	LOE	ENA302	Energías Renovables
FABRICACIÓN MECÁNICA	LOE	FME301	Construcciones Metálicas
FABRICACIÓN MECÁNICA	LOE	FME302	Diseño en Fabricación Mecánica
FABRICACIÓN MECÁNICA	LOE	FME304	Programación de la Producción en Fabricación Mecánica
HOSTELERÍA Y TURISMO	LOE	HOT301	Agencias de viajes y gestión de eventos
HOSTELERÍA Y TURISMO	LOE	HOT302	Gestión de Alojamientos Turísticos
HOSTELERÍA Y TURISMO	LOE	HOT303	Guía, información y asistencia turísticas
HOSTELERÍA Y TURISMO	LOE	HOT304	Dirección de Servicios de Restauración
HOSTELERÍA Y TURISMO	LOE	HOT305	Dirección de cocina
IMAGEN PERSONAL	LOGSE	IMP301	Asesoría de Imagen Personal
IMAGEN PERSONAL	LOE	IMP302	Estética integral y bienestar
IMAGEN Y SONIDO	LOE	IMS301	Iluminación, captación y tratamiento de la imagen
IMAGEN Y SONIDO	LOE	IMS302	Producción de Audiovisuales y Espectáculos
IMAGEN Y SONIDO	LOE	IMS303	Realización de proyectos audiovisuales y espectáculos
IMAGEN Y SONIDO	LOE	IMS304	Sonido para audiovisuales y espectáculos
INDUSTRIAS ALIMENTARIAS	LOE	INA301	Procesos y calidad en la industria alimentaria
INDUSTRIAS ALIMENTARIAS	LOE	INA302	Vitivinicultura
INFORMÁTICA Y COMUNICACIONES	LOE	IFC301	Administración de sistemas informáticos en red
INFORMÁTICA Y COMUNICACIONES	LOE	IFC302	Desarrollo de Aplicaciones Multiplataforma
INFORMÁTICA Y COMUNICACIONES	LOE	IFC303	Desarrollo de aplicaciones web
INSTALACIÓN Y MANTENIMIENTO	LOE	IMA301	Mantenimiento de Instalaciones Térmicas y de Fluidos
INSTALACIÓN Y MANTENIMIENTO	LOE	IMA302	Mecatrónica industrial
INSTALACIÓN Y MANTENIMIENTO	LOGSE	MSP302	Mantenimiento de equipo industrial
INSTALACIÓN Y MANTENIMIENTO	LOGSE	MSP304	Prevención de riesgos profesionales
MADERA, MUEBLE Y CORCHO	LOE	MAM301	Diseño y amueblamiento
QUÍMICA	LOE	QUI301	Laboratorio de análisis y de Control de calidad
QUÍMICA	LOE	QUI304	Química Industrial
QUÍMICA	LOGSE	QUI306	Química Ambiental
SANIDAD	LOGSE	SAN301	Anatomía patológica y citología
SANIDAD	LOGSE	SAN302	Dietética
SANIDAD	LOGSE	SAN303	Documentación Sanitaria
SANIDAD	LOGSE	SAN304	Higiene Bucodental
SANIDAD	LOGSE	SAN305	Imagen para el Diagnóstico
SANIDAD	LOGSE	SAN306	Laboratorio de diagnóstico clínico
SANIDAD	LOE	SAN308	Prótesis Dentales
SANIDAD	LOGSE	SAN309	Radioterapia
SANIDAD	LOGSE	SAN310	Salud ambiental
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD	LOGSE	SSC301	Animación sociocultural
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD	LOE	SSC302	Educación Infantil
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD	LOGSE	SSC303	Integración Social
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD	LOGSE	SSC304	Interpretación de la Lengua de Signos
TEXTIL, CONFECCIÓN Y PIEL	LOE	TCP301	Patronaje y Moda
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS	LOE	TMV301	Automoción
